CheckingAccount,Duration,CreditHistory,Purpose,CreditAmount,SavingsAccount,YearsEmployed,InstallmentRate,PersonalStatus,OtherDebtors,ResidentSince,Property,Age,OtherPlans,Housing,NumCreditsAtBank,Job,Dependents,Telephone,Foreign,Approve
<200,14.0,ok_til_now,business,1410.0,<1000,>=7,1.0,male_married,none,2.0,real_estate,35.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,6.0,past_delays,business,1449.0,<500,>=7,1.0,male_divorced,none,2.0,car,31.0,bank,own,2.0,skilled,2.0,no,yes,good
>=200,15.0,ok_til_now,education,392.0,<100,<1,4.0,female,none,4.0,savings,23.0,none,rent,1.0,skilled,1.0,yes,yes,good
<200,18.0,ok_til_now,car_new,6260.0,<100,<7,3.0,male_single,none,3.0,real_estate,28.0,none,rent,1.0,unskilled,1.0,no,yes,good
none,36.0,critical,car_new,7855.0,<100,<4,4.0,female,none,2.0,real_estate,25.0,stores,own,2.0,skilled,1.0,yes,yes,bad
<0,12.0,ok_til_now,television,1680.0,<1000,>=7,3.0,male_married,none,1.0,real_estate,35.0,none,own,1.0,skilled,1.0,no,yes,good
none,48.0,critical,television,3578.0,unknown,>=7,4.0,male_single,none,1.0,real_estate,47.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,42.0,ok_til_now,television,7174.0,unknown,<7,4.0,female,none,3.0,car,30.0,none,own,1.0,management,1.0,yes,yes,bad
<0,10.0,critical,furniture,2132.0,unknown,<1,2.0,female,co,3.0,real_estate,27.0,none,rent,2.0,skilled,1.0,no,no,good
<0,33.0,critical,furniture,4281.0,<1000,<4,1.0,female,none,4.0,car,23.0,none,own,2.0,skilled,1.0,no,yes,bad
<200,12.0,critical,car_new,2366.0,<1000,<7,3.0,male_divorced,none,3.0,car,36.0,none,own,1.0,management,1.0,yes,yes,good
<0,21.0,ok_til_now,television,1835.0,<100,<4,3.0,female,none,2.0,real_estate,25.0,none,own,2.0,skilled,1.0,yes,yes,bad
none,24.0,critical,car_used,3868.0,<100,>=7,4.0,female,none,2.0,car,41.0,none,rent,2.0,management,1.0,yes,yes,good
none,12.0,ok_til_now,furniture,1768.0,<100,<4,3.0,male_single,none,2.0,real_estate,24.0,none,rent,1.0,unskilled,1.0,no,yes,good
>=200,10.0,critical,car_new,781.0,<100,>=7,4.0,male_single,none,4.0,unknown,63.0,none,free,2.0,skilled,1.0,yes,yes,good
<200,18.0,ok_til_now,furniture,1924.0,unknown,<1,4.0,female,none,3.0,real_estate,27.0,none,rent,1.0,skilled,1.0,no,yes,bad
<0,12.0,critical,car_new,2121.0,<100,<4,4.0,male_single,none,2.0,savings,30.0,none,own,2.0,skilled,1.0,no,yes,good
<0,12.0,ok_til_now,television,701.0,<100,<4,4.0,male_married,none,2.0,real_estate,40.0,none,own,1.0,unskilled,1.0,no,yes,good
<200,12.0,ok_til_now,repairs,639.0,<100,<4,4.0,male_single,none,2.0,car,30.0,none,own,1.0,skilled,1.0,no,yes,bad
<200,12.0,critical,car_used,1860.0,<100,unemployed,4.0,male_single,none,2.0,car,34.0,none,own,2.0,management,1.0,yes,yes,good
<0,12.0,critical,car_new,3499.0,<100,<4,3.0,female,co,2.0,real_estate,29.0,none,own,2.0,skilled,1.0,no,yes,bad
<200,48.0,ok_til_now,car_new,8487.0,unknown,<7,1.0,female,none,2.0,car,24.0,none,own,1.0,skilled,1.0,no,yes,good
<0,36.0,past_delays,education,6887.0,<100,<4,4.0,male_single,none,3.0,savings,29.0,stores,own,1.0,skilled,1.0,yes,yes,bad
none,15.0,ok_til_now,furniture,2708.0,<100,<1,2.0,male_single,none,3.0,savings,27.0,bank,own,2.0,unskilled,1.0,no,yes,good
none,18.0,ok_til_now,furniture,1984.0,<100,<4,4.0,male_single,none,4.0,unknown,47.0,bank,free,2.0,skilled,1.0,no,yes,good
none,60.0,ok_til_now,television,10144.0,<500,<7,2.0,female,none,4.0,real_estate,21.0,none,own,1.0,skilled,1.0,yes,yes,good
none,12.0,critical,television,1240.0,unknown,>=7,4.0,female,none,2.0,real_estate,38.0,none,own,2.0,skilled,1.0,yes,yes,good
none,27.0,past_delays,car_used,8613.0,>=1000,<4,2.0,male_single,none,2.0,car,27.0,none,own,2.0,skilled,1.0,no,yes,good
<200,12.0,ok_til_now,television,766.0,<1000,<4,4.0,male_single,none,3.0,real_estate,66.0,none,own,1.0,unskilled,1.0,no,yes,bad
<200,15.0,critical,television,2728.0,unknown,<7,4.0,male_single,guarantor,2.0,real_estate,35.0,bank,own,3.0,skilled,1.0,yes,yes,good
>=200,12.0,ok_til_now,television,1881.0,<100,<4,2.0,female,none,2.0,car,44.0,none,rent,1.0,unskilled,1.0,yes,yes,good
>=200,6.0,ok_til_now,car_new,709.0,>=1000,<1,2.0,male_married,none,2.0,real_estate,27.0,none,own,1.0,unemployed,1.0,no,no,good
<200,36.0,ok_til_now,television,4795.0,<100,<1,4.0,female,none,1.0,unknown,30.0,none,own,1.0,management,1.0,yes,yes,good
<0,27.0,ok_til_now,television,3416.0,<100,<4,3.0,male_single,none,2.0,car,27.0,none,own,1.0,management,1.0,no,yes,good
<0,18.0,ok_til_now,furniture,2462.0,<100,<4,2.0,male_single,none,2.0,car,22.0,none,own,1.0,skilled,1.0,no,yes,bad
none,21.0,critical,furniture,2288.0,<100,<1,4.0,female,none,4.0,savings,23.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,48.0,ok_at_this_bank,business,3566.0,<500,<7,4.0,male_single,none,2.0,car,30.0,none,own,1.0,skilled,1.0,no,yes,good
<0,6.0,critical,car_new,860.0,<100,>=7,1.0,female,none,4.0,unknown,39.0,none,own,2.0,skilled,1.0,yes,yes,good
none,12.0,critical,car_new,682.0,<500,<7,4.0,female,none,3.0,car,51.0,none,own,2.0,skilled,1.0,yes,yes,good
<0,36.0,critical,furniture,5371.0,<100,<4,3.0,male_single,guarantor,2.0,savings,28.0,none,own,2.0,skilled,1.0,no,yes,good
none,18.0,critical,television,1582.0,>=1000,>=7,4.0,male_single,none,4.0,car,46.0,none,own,2.0,skilled,1.0,no,yes,good
none,6.0,ok_til_now,television,1346.0,<500,>=7,2.0,male_single,none,4.0,unknown,42.0,bank,free,1.0,skilled,2.0,yes,yes,good
none,10.0,ok_til_now,television,1924.0,<100,<4,1.0,male_single,none,4.0,savings,38.0,none,own,1.0,skilled,1.0,yes,no,good
>=200,36.0,ok_til_now,television,5848.0,<100,<4,4.0,male_single,none,1.0,car,24.0,none,own,1.0,skilled,1.0,no,yes,good
<200,24.0,critical,car_used,7758.0,>=1000,>=7,2.0,female,none,4.0,unknown,29.0,none,rent,1.0,skilled,1.0,no,yes,good
<200,24.0,past_delays,business,6967.0,<500,<7,4.0,male_single,none,4.0,car,36.0,none,rent,1.0,management,1.0,yes,yes,good
<0,12.0,ok_til_now,furniture,1282.0,<100,<4,2.0,female,none,4.0,car,20.0,none,rent,1.0,skilled,1.0,no,yes,bad
<0,9.0,critical,repairs,1288.0,<500,>=7,3.0,male_single,guarantor,4.0,real_estate,48.0,none,own,2.0,skilled,2.0,no,no,good
<0,12.0,ok_at_this_bank,retraining,339.0,<100,>=7,4.0,male_married,none,1.0,car,45.0,bank,own,1.0,unskilled,1.0,no,yes,good
<200,24.0,ok_til_now,car_new,3512.0,<500,<7,2.0,male_single,none,3.0,car,38.0,bank,own,2.0,skilled,1.0,yes,yes,good
none,6.0,critical,television,1898.0,unknown,<4,1.0,male_single,none,2.0,real_estate,34.0,none,own,2.0,unskilled,2.0,no,yes,good
none,24.0,critical,television,2872.0,<500,>=7,3.0,male_single,none,4.0,real_estate,36.0,none,own,1.0,skilled,2.0,yes,yes,good
none,18.0,critical,car_new,1055.0,<100,<1,4.0,female,none,1.0,savings,30.0,none,own,2.0,skilled,1.0,no,yes,good
none,15.0,ok_til_now,appliances,1262.0,<1000,<7,4.0,male_single,none,3.0,savings,36.0,none,own,2.0,skilled,1.0,yes,yes,good
<200,10.0,ok_til_now,car_new,7308.0,<100,unemployed,2.0,male_single,none,4.0,unknown,70.0,bank,free,1.0,management,1.0,yes,yes,good
none,36.0,ok_til_now,car_new,909.0,<1000,>=7,4.0,male_single,none,4.0,savings,36.0,none,own,1.0,skilled,1.0,no,yes,good
none,6.0,ok_til_now,furniture,2978.0,<1000,<4,1.0,male_single,none,2.0,car,32.0,none,own,1.0,skilled,1.0,yes,yes,good
<0,18.0,ok_til_now,furniture,1131.0,<100,unemployed,4.0,female,none,2.0,car,33.0,none,own,1.0,skilled,1.0,no,yes,bad
<200,11.0,ok_til_now,furniture,1577.0,>=1000,<1,4.0,female,none,1.0,real_estate,20.0,none,own,1.0,skilled,1.0,no,yes,good
none,24.0,ok_til_now,furniture,3972.0,<100,<7,2.0,female,none,4.0,savings,25.0,none,rent,1.0,skilled,1.0,yes,yes,good
<200,24.0,critical,business,1935.0,<100,>=7,4.0,male_divorced,none,4.0,real_estate,31.0,none,own,2.0,skilled,1.0,yes,yes,bad
<0,15.0,ok,car_new,950.0,<100,>=7,4.0,male_single,none,3.0,car,33.0,none,rent,2.0,skilled,2.0,no,yes,bad
none,12.0,ok_til_now,furniture,763.0,<100,<4,4.0,female,none,1.0,real_estate,26.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,24.0,past_delays,furniture,2064.0,<100,unemployed,3.0,female,none,2.0,savings,34.0,none,own,1.0,management,1.0,yes,yes,bad
<200,8.0,ok_til_now,television,1414.0,<100,<4,4.0,male_single,guarantor,2.0,real_estate,33.0,none,own,1.0,skilled,1.0,no,no,good
<0,21.0,past_delays,education,3414.0,<100,<1,2.0,male_single,none,1.0,savings,26.0,none,own,2.0,skilled,1.0,no,yes,bad
none,30.0,ok_at_this_bank,car_used,7485.0,unknown,unemployed,4.0,female,none,1.0,real_estate,53.0,bank,own,1.0,management,1.0,yes,yes,bad
<0,12.0,ok_til_now,furniture,2577.0,<100,<4,2.0,male_divorced,none,1.0,car,42.0,none,own,1.0,skilled,1.0,no,yes,good
<0,6.0,critical,television,338.0,<1000,>=7,4.0,male_single,none,4.0,car,52.0,none,own,2.0,skilled,1.0,no,yes,good
none,12.0,ok_til_now,television,1963.0,<100,<7,4.0,male_single,none,2.0,car,31.0,none,rent,2.0,management,2.0,yes,yes,good
<0,21.0,critical,car_new,571.0,<100,>=7,4.0,male_single,none,4.0,real_estate,65.0,none,own,2.0,skilled,1.0,no,yes,good
none,36.0,past_delays,business,9572.0,<100,<1,1.0,male_divorced,none,1.0,car,28.0,none,own,2.0,skilled,1.0,no,yes,bad
<200,36.0,past_delays,business,4455.0,<100,<4,2.0,male_divorced,none,2.0,real_estate,30.0,stores,own,2.0,management,1.0,yes,yes,bad
<0,21.0,ok_at_this_bank,car_new,1647.0,unknown,<4,4.0,male_single,none,2.0,savings,40.0,none,own,2.0,unskilled,2.0,no,yes,bad
none,24.0,critical,furniture,3777.0,>=1000,<4,4.0,male_single,none,4.0,real_estate,50.0,none,own,1.0,skilled,1.0,yes,yes,good
<200,18.0,critical,car_new,884.0,<100,>=7,4.0,male_single,none,4.0,car,36.0,bank,own,1.0,skilled,2.0,yes,yes,bad
none,15.0,critical,television,1360.0,<100,<4,4.0,male_single,none,2.0,savings,31.0,none,own,2.0,skilled,1.0,no,yes,good
<200,9.0,ok_at_this_bank,car_used,5129.0,<100,>=7,2.0,female,none,4.0,unknown,74.0,bank,free,1.0,management,2.0,yes,yes,bad
<200,16.0,critical,car_new,1175.0,<100,unemployed,2.0,male_single,none,3.0,car,68.0,none,free,3.0,unemployed,1.0,yes,yes,good
<0,12.0,ok_til_now,television,674.0,<500,<7,4.0,male_married,none,1.0,savings,20.0,none,own,1.0,skilled,1.0,no,yes,bad
<200,18.0,ok,furniture,3244.0,<100,<4,1.0,female,none,4.0,car,33.0,bank,own,2.0,skilled,1.0,yes,yes,good
