normalized-losses,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,wheel-base,length,width,height,engine-type,num-of-cylinders,engine-size,fuel-system,bore,stroke,compression-ratio,engine-power,peak-rpm,city-mpg,highway-mpg,symboling,mean-effective-pressure,torque,price
118.0,dodge,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,4,7.1,mpfi,3.03,3.39,7.6,102000.0,5500.0,24.0,30.0,1,28.8,73.88,7957.0
197.0,dodge,gas,std,4,hatchback,fwd,front,110.0,192.7,71.4,58.7,ohc,4,6.05,2bbl,3.78,3.9,22.5,162000.0,6000.0,47.0,53.0,1,47.53,41.38,6229.0
148.0,dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,4,6.05,2bbl,2.97,3.23,9.4,68000.0,5500.0,31.0,38.0,1,14.59,136.33,6692.0
148.0,dodge,gas,std,4,sedan,fwd,front,93.7,157.3,63.8,50.6,ohc,4,6.05,2bbl,2.97,3.23,9.4,68000.0,5500.0,31.0,38.0,1,4.07,488.77,7609.0
110.0,dodge,gas,std,4,wagon,fwd,front,103.3,174.6,64.6,59.8,ohc,4,11.47,2bbl,3.34,3.46,8.5,88000.0,5000.0,24.0,30.0,-1,76.69,33.05,8921.0
118.0,dodge,gas,turbo,2,hatchback,fwd,front,95.9,173.2,66.3,50.2,ohc,4,22.65,mfi,3.6,3.9,7.0,145000.0,5000.0,19.0,24.0,3,24.17,116.32,12964.0
137.0,honda,gas,std,2,hatchback,fwd,front,86.6,144.6,63.9,50.8,ohc,4,6.3,1bbl,2.91,3.41,9.6,58000.0,4800.0,49.0,54.0,2,51.27,33.41,6479.0
103.0,honda,gas,std,2,hatchback,fwd,front,98.4,202.6,63.9,50.8,ohc,4,6.3,1bbl,2.91,3.41,9.2,76000.0,6000.0,31.0,38.0,2,78.82,23.08,6855.0
137.0,honda,gas,std,2,hatchback,fwd,front,93.7,170.2,64.0,52.6,ohc,4,4.85,1bbl,2.91,3.07,10.1,60000.0,5500.0,38.0,42.0,1,93.73,19.6,5399.0
101.0,honda,gas,std,2,hatchback,fwd,front,93.7,150.0,64.0,52.6,ohc,4,6.3,1bbl,2.91,3.41,9.2,76000.0,6000.0,30.0,34.0,1,30.2,64.24,6529.0
101.0,honda,gas,std,2,hatchback,fwd,front,93.7,150.0,64.0,52.6,ohc,4,6.3,1bbl,2.91,3.41,9.2,76000.0,6000.0,30.0,34.0,1,81.94,23.87,7129.0
87.0,honda,gas,std,4,sedan,fwd,front,96.5,163.4,68.8,55.9,ohc,4,6.3,1bbl,2.54,2.07,9.5,121000.0,4150.0,37.0,39.0,0,26.27,76.51,7295.0
78.0,honda,gas,std,4,wagon,fwd,front,96.5,157.1,67.2,58.3,ohc,4,6.3,1bbl,2.92,3.03,8.0,90000.0,5000.0,30.0,34.0,0,35.01,57.82,7295.0
106.0,honda,gas,std,2,hatchback,fwd,front,96.5,167.5,65.2,53.3,ohc,4,9.03,1bbl,3.15,3.58,9.0,86000.0,5800.0,27.0,33.0,0,69.86,32.01,7895.0
106.0,honda,gas,std,2,hatchback,fwd,front,96.5,175.4,65.2,53.3,ohc,4,9.03,1bbl,3.15,3.58,9.0,86000.0,5800.0,27.0,33.0,0,5.27,434.03,9095.0
118.0,honda,gas,std,4,sedan,fwd,front,102.4,175.4,68.4,56.2,ohc,4,9.03,1bbl,3.46,3.4,10.0,140000.0,5800.0,17.0,42.0,0,68.07,33.85,8845.0
85.0,honda,gas,std,4,sedan,fwd,front,96.5,175.4,62.5,54.1,ohc,4,9.03,1bbl,3.15,3.58,9.0,86000.0,5800.0,27.0,33.0,0,10.23,231.93,10295.0
107.0,honda,gas,std,4,sedan,fwd,front,97.2,169.1,65.5,53.5,ohc,4,9.03,mpfi,3.24,3.16,8.7,94000.0,4900.0,25.0,30.0,0,52.66,46.81,12945.0
107.0,honda,gas,std,2,sedan,fwd,front,96.5,169.1,66.0,51.0,ohc,4,9.03,2bbl,3.46,3.58,9.1,76000.0,5500.0,25.0,31.0,1,68.92,33.27,10345.0
145.0,jaguar,gas,std,4,sedan,rwd,front,113.0,199.6,69.6,52.8,dohc,6,174.16,mpfi,3.63,4.17,8.1,176000.0,4750.0,15.0,19.0,0,54.97,73.97,36250.0
104.0,mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,4,6.17,2bbl,3.7,3.15,9.0,68000.0,5000.0,30.0,31.0,1,97.44,19.4,5195.0
154.0,mazda,gas,std,2,hatchback,fwd,front,97.0,157.3,63.9,51.4,ohc,4,6.17,2bbl,2.99,2.8,7.8,92000.0,4800.0,18.0,23.0,1,70.72,26.87,6095.0
104.0,mazda,gas,std,2,hatchback,fwd,front,93.1,159.1,64.2,54.1,ohc,4,6.17,2bbl,3.03,3.15,9.0,68000.0,5000.0,31.0,38.0,1,62.16,30.65,6795.0
113.0,mazda,gas,std,4,sedan,fwd,front,93.1,166.8,64.2,54.1,ohc,4,6.17,2bbl,3.03,3.15,9.0,68000.0,5000.0,31.0,38.0,1,54.81,35.49,6695.0
121.0,mazda,gas,std,4,sedan,fwd,front,95.1,141.1,65.5,54.1,ohc,4,6.17,2bbl,3.08,3.19,7.5,68000.0,5000.0,31.0,38.0,1,30.05,64.9,7395.0
93.0,mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,62.5,53.7,ohc,4,11.47,2bbl,3.39,3.39,8.6,84000.0,4800.0,26.0,32.0,1,13.71,173.94,8845.0
115.0,mazda,gas,std,4,sedan,fwd,front,95.7,158.8,70.3,55.5,ohc,4,11.47,2bbl,3.46,3.4,9.41,73000.0,4800.0,29.0,38.0,0,20.38,118.26,8495.0
129.0,mazda,gas,std,2,hatchback,fwd,front,98.8,177.8,66.5,53.7,ohc,4,11.47,2bbl,3.39,3.39,8.6,84000.0,4800.0,26.0,32.0,1,23.17,102.95,10595.0
121.0,mazda,gas,std,4,sedan,fwd,front,100.4,157.9,64.0,54.1,ohc,4,11.47,2bbl,3.01,2.87,8.0,101000.0,5100.0,15.0,34.0,0,25.99,92.73,10245.0
115.0,mazda,gas,std,4,hatchback,fwd,front,98.8,177.8,66.5,55.5,ohc,4,11.47,2bbl,3.39,3.39,8.6,84000.0,4800.0,26.0,32.0,0,49.18,49.31,11245.0
118.0,mazda,gas,std,4,sedan,rwd,front,104.9,175.0,66.1,54.4,ohc,4,16.44,mpfi,3.76,3.16,7.0,120000.0,4150.0,30.0,23.0,0,70.7,37.77,18280.0
93.0,mercedes-benz,diesel,turbo,4,sedan,rwd,front,110.0,190.9,70.3,56.5,ohc,5,38.86,idi,3.58,3.64,21.5,123000.0,4350.0,22.0,38.0,-1,40.58,86.62,29552.0
87.0,mercedes-benz,diesel,turbo,4,wagon,rwd,front,99.2,183.5,66.2,58.7,ohc,5,38.86,idi,3.43,3.27,9.4,62000.0,5250.0,29.0,24.0,-1,53.25,70.42,31248.0
93.0,mercedes-benz,diesel,turbo,2,hardtop,rwd,front,106.7,187.5,70.3,54.9,ohc,5,38.86,idi,3.58,3.64,21.5,123000.0,4350.0,22.0,25.0,0,47.39,73.76,38176.0
93.0,mercedes-benz,diesel,turbo,4,sedan,rwd,front,115.6,202.6,71.7,56.3,ohc,5,38.86,idi,3.58,3.64,21.5,123000.0,4350.0,22.0,25.0,-1,64.75,58.23,41600.0
142.0,mercedes-benz,gas,std,2,convertible,rwd,front,96.6,180.3,70.5,50.8,ohcv,8,107.77,mpfi,3.46,3.1,8.3,155000.0,4800.0,16.0,18.0,3,4.52,814.89,42056.0
161.0,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,4,6.3,2bbl,2.97,3.23,9.4,68000.0,5500.0,37.0,41.0,2,26.21,73.18,5389.0
161.0,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,4,6.3,2bbl,2.97,3.23,9.4,68000.0,5500.0,31.0,38.0,2,58.48,33.24,6189.0
161.0,mitsubishi,gas,std,2,hatchback,fwd,front,93.7,157.3,64.4,50.8,ohc,4,6.3,2bbl,2.97,3.23,9.4,68000.0,5500.0,31.0,38.0,2,34.72,57.72,6669.0
161.0,mitsubishi,gas,turbo,2,hatchback,fwd,front,93.0,157.3,63.8,50.8,ohc,4,7.1,spdi,3.03,3.39,7.6,102000.0,5500.0,24.0,30.0,1,8.15,263.17,7689.0
119.0,mitsubishi,gas,turbo,2,hatchback,fwd,front,98.8,176.2,66.0,54.4,ohc,4,9.03,spdi,3.39,3.21,9.3,116000.0,5200.0,27.0,24.0,3,84.75,27.96,9959.0
153.0,mitsubishi,gas,std,2,hatchback,fwd,front,96.3,173.0,63.9,49.4,ohc,4,11.47,2bbl,3.35,3.46,8.5,69000.0,4400.0,25.0,25.0,3,15.02,155.0,8499.0
103.0,mitsubishi,gas,std,4,sedan,fwd,front,99.1,167.5,64.6,52.8,ohc,4,11.47,2bbl,3.13,3.1,8.6,85000.0,5100.0,22.0,27.0,1,99.79,23.7,6989.0
125.0,mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,4,11.47,2bbl,3.35,3.46,8.5,88000.0,5000.0,25.0,32.0,1,19.76,121.72,8189.0
125.0,mitsubishi,gas,turbo,4,sedan,fwd,front,96.3,172.4,64.2,51.6,ohc,4,9.03,spdi,3.17,3.46,9.31,116000.0,5500.0,23.0,30.0,1,84.88,28.31,9279.0
137.0,mitsubishi,gas,std,4,sedan,fwd,front,96.3,172.4,65.4,51.6,ohc,4,9.03,spdi,3.17,3.46,7.5,116000.0,5500.0,23.0,30.0,-1,5.06,474.89,9279.0
91.0,nissan,gas,std,2,sedan,fwd,front,95.1,162.4,64.0,52.0,ohc,4,6.96,2bbl,3.03,3.03,8.1,70000.0,4400.0,20.0,24.0,1,87.83,21.51,5499.0
231.0,nissan,diesel,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,7.85,idi,2.99,3.47,21.9,55000.0,4800.0,45.0,50.0,1,95.1,21.21,7099.0
128.0,nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,6.96,2bbl,3.15,3.29,9.4,69000.0,5200.0,31.0,37.0,1,57.72,33.23,6649.0
129.0,nissan,gas,std,4,sedan,fwd,front,99.2,173.2,63.9,54.5,ohc,4,6.96,2bbl,3.08,3.27,8.1,48000.0,4900.0,24.0,47.0,1,56.75,34.15,6849.0
103.0,nissan,gas,std,4,wagon,fwd,front,94.5,170.2,63.8,53.5,ohc,4,6.96,2bbl,3.15,3.29,9.4,69000.0,5200.0,31.0,37.0,1,50.08,40.42,7349.0
128.0,nissan,gas,std,2,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,6.96,2bbl,3.15,3.29,9.4,69000.0,5200.0,31.0,37.0,1,55.16,35.37,7299.0
128.0,nissan,gas,std,2,hatchback,fwd,front,94.5,165.6,63.8,52.5,ohc,4,6.96,2bbl,3.15,3.4,9.4,69000.0,5200.0,31.0,37.0,1,27.47,73.84,7799.0
122.0,nissan,gas,std,4,sedan,fwd,front,94.5,165.3,63.8,54.5,ohc,4,6.96,2bbl,3.15,3.29,9.4,69000.0,5200.0,31.0,37.0,1,12.23,161.11,7499.0
103.0,nissan,gas,std,4,wagon,fwd,front,94.5,157.3,63.8,55.5,ohc,4,6.96,2bbl,3.15,3.29,9.4,69000.0,5200.0,31.0,37.0,1,9.97,204.33,7999.0
168.0,nissan,gas,std,2,hardtop,fwd,front,95.1,162.4,63.8,53.3,ohc,4,6.96,2bbl,3.15,3.29,9.4,69000.0,5200.0,31.0,37.0,2,57.51,34.91,8249.0
115.0,nissan,gas,std,4,hatchback,fwd,front,95.1,173.0,65.2,51.0,ohc,4,11.02,2bbl,2.54,3.03,7.8,97000.0,4350.0,19.0,23.0,0,25.95,89.57,8949.0
106.0,nissan,gas,std,4,sedan,fwd,front,97.2,173.4,65.2,54.7,ohc,4,11.02,2bbl,3.33,3.47,8.5,97000.0,5200.0,27.0,34.0,0,30.35,75.85,9549.0
128.0,nissan,gas,std,4,sedan,fwd,front,100.4,181.7,66.5,55.5,ohcv,6,37.34,mpfi,3.43,3.27,9.0,152000.0,5200.0,17.0,22.0,0,80.68,38.36,13499.0
106.0,nissan,gas,std,4,wagon,fwd,front,95.1,173.6,66.5,56.1,ohcv,6,37.34,mpfi,3.19,4.17,9.0,70000.0,5200.0,17.0,31.0,0,51.93,63.46,14399.0
108.0,nissan,gas,std,4,sedan,fwd,front,100.4,184.6,66.5,55.1,ohcv,6,37.34,mpfi,3.43,3.27,9.0,152000.0,5200.0,19.0,25.0,0,79.53,38.48,13499.0
113.0,nissan,gas,std,2,hatchback,rwd,front,96.9,175.4,67.9,49.7,ohcv,6,37.34,mpfi,3.43,3.27,9.0,160000.0,5200.0,19.0,25.0,3,51.37,59.78,17199.0
194.0,nissan,gas,turbo,2,hatchback,rwd,front,91.3,170.7,67.9,49.7,ohcv,6,37.34,mpfi,3.43,3.27,7.8,200000.0,5200.0,17.0,23.0,3,92.51,33.93,19699.0
231.0,nissan,gas,std,2,hatchback,rwd,front,99.2,178.5,64.2,54.5,ohcv,6,37.34,mpfi,2.91,3.35,9.0,92000.0,5300.0,15.0,25.0,1,32.78,95.75,18399.0
65.0,peugot,gas,std,4,sedan,rwd,front,86.6,141.1,60.3,49.4,l,4,11.02,mpfi,2.54,2.07,23.0,48000.0,4150.0,15.0,18.0,0,98.76,30.58,11900.0
145.0,peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,20.91,idi,3.7,3.52,21.0,95000.0,4150.0,28.0,41.0,0,57.26,55.83,13200.0
161.0,peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,11.02,mpfi,3.46,2.19,8.4,95000.0,5000.0,19.0,24.0,0,37.3,82.43,15580.0
87.0,peugot,diesel,turbo,4,sedan,rwd,front,102.9,175.4,63.8,51.0,l,4,20.91,idi,3.61,3.41,8.6,62000.0,5300.0,18.0,22.0,0,24.97,130.24,16900.0
161.0,peugot,gas,std,4,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,11.02,mpfi,3.46,3.19,8.4,97000.0,5000.0,19.0,24.0,0,15.74,195.37,16630.0
161.0,peugot,diesel,turbo,4,sedan,rwd,front,107.9,186.7,68.4,56.7,l,4,20.91,idi,3.7,3.52,21.0,95000.0,4150.0,28.0,33.0,0,72.02,45.15,17950.0
161.0,peugot,gas,turbo,4,sedan,rwd,front,108.0,186.7,60.3,56.0,l,4,14.59,mpfi,3.61,3.21,9.2,142000.0,5600.0,18.0,22.0,0,33.12,94.51,18150.0
89.0,plymouth,gas,std,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,4,6.05,2bbl,2.97,3.23,9.4,68000.0,5500.0,37.0,41.0,1,0.49,3912.87,5572.0
119.0,plymouth,gas,turbo,2,hatchback,fwd,front,93.7,157.3,63.8,50.8,ohc,4,7.1,spdi,3.03,3.39,9.4,112000.0,5500.0,24.0,30.0,1,87.04,24.45,7957.0
154.0,plymouth,gas,std,4,hatchback,fwd,front,99.8,141.1,66.4,50.6,ohc,4,6.05,2bbl,3.03,3.29,8.0,68000.0,4350.0,20.0,18.0,1,32.91,59.78,6229.0
107.0,plymouth,gas,std,4,sedan,fwd,front,96.6,169.1,65.2,53.2,ohc,4,6.05,2bbl,3.17,3.11,8.7,94000.0,4500.0,23.0,28.0,1,20.25,98.23,6692.0
154.0,plymouth,gas,std,4,sedan,fwd,front,93.7,167.3,60.3,55.1,ohc,4,7.1,2bbl,2.97,3.23,8.7,68000.0,5500.0,21.0,31.0,1,71.92,30.46,7609.0
188.0,plymouth,gas,std,4,wagon,fwd,front,102.4,165.3,67.2,52.5,ohc,4,11.47,2bbl,3.35,3.46,8.5,88000.0,5000.0,24.0,30.0,-1,37.97,66.77,8921.0
186.0,porsche,gas,std,2,hatchback,rwd,front,94.5,168.9,68.3,52.0,ohc,4,20.49,mpfi,3.94,3.11,9.5,143000.0,5500.0,19.0,27.0,3,8.08,344.02,22018.0
91.0,saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,ohc,4,11.25,mpfi,3.54,3.07,9.31,110000.0,5250.0,21.0,28.0,3,67.03,39.66,11850.0
104.0,saab,gas,std,4,sedan,fwd,front,99.1,186.6,66.5,56.1,ohc,4,11.25,mpfi,3.54,3.07,9.3,110000.0,4400.0,21.0,28.0,2,95.69,28.16,12170.0
150.0,saab,gas,std,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,ohc,4,11.25,mpfi,2.54,2.07,9.3,110000.0,5250.0,21.0,28.0,3,64.82,41.76,15040.0
104.0,saab,gas,std,4,sedan,fwd,front,97.3,158.8,65.6,51.4,ohc,4,11.25,mpfi,3.05,3.58,9.3,176000.0,5800.0,45.0,28.0,2,17.1,161.28,15510.0
150.0,saab,gas,turbo,2,hatchback,fwd,front,99.1,186.6,66.5,56.1,dohc,4,11.25,mpfi,3.54,3.07,9.0,160000.0,5500.0,19.0,26.0,3,50.85,55.22,18150.0
65.0,saab,gas,turbo,4,sedan,fwd,front,95.7,162.4,71.7,51.6,dohc,4,11.25,mpfi,3.05,3.16,8.1,69000.0,5500.0,25.0,36.0,2,92.29,30.85,18620.0
91.0,subaru,gas,std,2,hatchback,fwd,front,86.6,156.9,63.4,54.7,ohcf,4,6.96,2bbl,3.62,2.36,23.0,111000.0,4900.0,19.0,36.0,2,29.33,69.88,5118.0
83.0,subaru,gas,std,2,hatchback,fwd,front,94.5,157.9,64.0,53.7,ohcf,4,8.67,2bbl,3.62,2.87,8.3,114000.0,4800.0,49.0,25.0,2,60.82,34.86,7053.0
83.0,subaru,gas,std,2,hatchback,4wd,front,93.3,157.3,63.8,55.7,ohcf,4,8.67,2bbl,3.62,2.64,8.7,73000.0,4400.0,26.0,31.0,2,49.8,44.98,7603.0
137.0,subaru,gas,std,4,sedan,fwd,front,102.4,187.5,65.4,49.7,ohcf,4,8.67,2bbl,3.62,2.64,9.5,82000.0,4800.0,32.0,37.0,0,55.28,38.8,7126.0
102.0,subaru,gas,std,4,sedan,fwd,front,97.2,172.0,65.4,52.5,ohcf,4,8.67,2bbl,3.62,2.64,9.5,82000.0,4400.0,28.0,33.0,0,91.17,24.02,7775.0
102.0,subaru,gas,std,4,sedan,fwd,front,97.2,172.0,65.4,52.5,ohcf,4,8.67,mpfi,3.62,2.64,9.0,94000.0,5200.0,26.0,32.0,0,30.47,76.78,9960.0
102.0,subaru,gas,std,4,sedan,4wd,front,97.0,172.0,65.4,54.3,ohcf,4,8.67,2bbl,3.62,2.64,9.0,82000.0,4800.0,24.0,25.0,0,7.22,330.56,9233.0
85.0,subaru,gas,turbo,4,sedan,4wd,front,97.0,165.3,65.4,54.3,ohcf,4,8.67,mpfi,3.62,2.64,23.0,116000.0,4800.0,24.0,29.0,0,70.7,35.5,11259.0
89.0,subaru,gas,std,4,wagon,fwd,front,97.0,173.5,65.4,53.0,ohcf,4,8.67,2bbl,3.62,2.19,9.0,76000.0,4150.0,28.0,22.0,0,81.85,27.98,7463.0
65.0,subaru,gas,std,4,wagon,fwd,front,93.3,157.9,63.8,53.0,ohcf,4,8.67,mpfi,3.34,2.8,9.2,106000.0,5100.0,18.0,36.0,0,99.73,24.62,10198.0
85.0,subaru,gas,std,4,wagon,4wd,front,99.8,199.6,65.4,59.1,ohcf,4,8.67,2bbl,3.62,2.64,9.0,52000.0,4800.0,23.0,29.0,0,3.48,695.36,8013.0
85.0,subaru,gas,turbo,4,wagon,4wd,front,96.9,173.6,65.4,54.9,ohcf,4,8.67,mpfi,3.62,2.64,7.7,111000.0,4800.0,23.0,23.0,0,80.61,32.88,11694.0
98.0,toyota,gas,std,2,hatchback,fwd,front,93.1,166.3,66.1,54.3,ohc,4,6.3,2bbl,3.33,3.23,8.4,102000.0,4250.0,35.0,39.0,1,56.99,34.83,5348.0
87.0,toyota,gas,std,2,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,4,6.3,2bbl,3.05,3.03,9.0,62000.0,4800.0,31.0,38.0,1,40.78,50.02,6338.0
107.0,toyota,gas,std,4,hatchback,fwd,front,95.7,158.7,63.6,54.5,ohc,4,6.3,2bbl,2.97,3.03,9.0,95000.0,4800.0,31.0,38.0,1,5.57,361.53,6488.0
77.0,toyota,gas,std,4,wagon,fwd,front,95.7,169.7,63.6,59.1,ohc,4,6.3,2bbl,3.05,3.03,9.0,62000.0,4800.0,31.0,54.0,0,72.73,31.35,6918.0
81.0,toyota,gas,std,4,wagon,4wd,front,95.7,169.1,63.6,53.5,ohc,4,6.3,2bbl,3.05,3.03,9.0,62000.0,4800.0,17.0,32.0,0,12.81,178.78,7898.0
91.0,toyota,gas,std,4,wagon,4wd,front,95.7,169.7,63.6,59.1,ohc,4,6.3,2bbl,3.05,3.03,9.0,62000.0,4800.0,27.0,32.0,0,38.69,80.38,8778.0
91.0,toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,53.0,ohc,4,7.1,2bbl,3.19,3.03,9.0,70000.0,4800.0,30.0,37.0,0,73.22,28.42,6938.0
91.0,toyota,gas,std,4,hatchback,fwd,front,97.0,166.3,65.5,53.5,ohc,4,7.1,2bbl,3.24,3.16,22.5,161000.0,4750.0,24.0,30.0,0,99.85,21.12,7198.0
91.0,toyota,diesel,std,4,sedan,fwd,front,95.7,166.3,64.4,50.8,ohc,4,9.03,idi,3.6,3.47,7.7,60000.0,4350.0,34.0,22.0,0,71.6,31.77,7898.0
91.0,toyota,diesel,std,4,hatchback,fwd,front,95.7,166.3,64.4,52.8,ohc,4,9.03,idi,3.27,3.35,22.5,56000.0,4500.0,38.0,47.0,0,93.47,24.34,7788.0
231.0,toyota,gas,std,4,sedan,fwd,front,113.0,192.7,71.4,59.1,ohc,4,7.1,2bbl,3.78,3.9,7.0,176000.0,6600.0,49.0,53.0,0,71.77,29.18,7738.0
150.0,toyota,gas,std,4,hatchback,fwd,front,104.3,176.8,68.3,56.0,ohc,4,7.1,2bbl,3.58,3.46,9.6,134000.0,5400.0,34.0,41.0,0,9.56,221.89,8358.0
91.0,toyota,gas,std,4,sedan,fwd,front,95.7,166.3,64.4,52.8,ohc,4,7.1,2bbl,3.19,3.03,9.0,70000.0,4800.0,28.0,34.0,0,1.54,1387.95,9258.0
168.0,toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64.0,52.6,ohc,4,7.1,2bbl,3.19,3.03,9.0,70000.0,4800.0,29.0,34.0,1,38.8,55.9,8058.0
128.0,toyota,gas,std,2,hatchback,rwd,front,94.5,168.7,64.0,57.5,ohc,4,7.1,2bbl,3.19,3.03,9.0,70000.0,4800.0,29.0,34.0,1,5.25,419.83,8238.0
168.0,toyota,gas,std,2,sedan,rwd,front,94.5,168.7,64.0,52.6,dohc,4,7.1,mpfi,3.24,3.08,9.4,112000.0,6600.0,26.0,29.0,1,66.36,34.13,9298.0
90.0,toyota,gas,std,2,hatchback,rwd,front,97.0,159.1,64.4,51.4,dohc,4,7.1,mpfi,3.27,3.03,9.4,106000.0,4400.0,20.0,29.0,1,55.9,41.14,9538.0
134.0,toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,52.0,ohc,4,18.54,mpfi,3.62,3.5,9.3,116000.0,4800.0,24.0,30.0,2,56.1,45.28,8449.0
194.0,toyota,gas,std,2,hardtop,rwd,front,110.0,190.9,70.5,58.7,ohc,4,18.54,mpfi,3.76,3.9,22.5,162000.0,6000.0,47.0,53.0,2,58.65,43.24,9639.0
102.0,toyota,gas,std,2,hatchback,rwd,front,96.6,167.3,64.8,53.0,ohc,4,18.54,mpfi,3.15,3.11,8.5,86000.0,4750.0,23.0,28.0,2,85.23,29.93,9989.0
134.0,toyota,gas,std,2,hardtop,rwd,front,98.4,176.2,65.6,56.3,ohc,4,18.54,mpfi,3.34,3.5,10.1,143000.0,5100.0,15.0,43.0,2,16.92,158.36,11199.0
134.0,toyota,gas,std,2,hatchback,rwd,front,98.4,176.2,65.6,52.0,ohc,4,18.54,mpfi,3.01,3.5,9.3,116000.0,4350.0,24.0,30.0,2,8.45,321.25,11549.0
134.0,toyota,gas,std,2,convertible,rwd,front,98.4,176.2,65.6,53.0,ohc,4,18.54,mpfi,3.58,3.5,9.3,116000.0,5400.0,24.0,18.0,2,24.32,122.3,17669.0
161.0,toyota,gas,std,4,sedan,fwd,front,99.1,168.9,66.2,49.4,ohc,4,11.47,mpfi,2.99,3.27,9.6,48000.0,4250.0,28.0,32.0,-1,50.81,45.78,8948.0
65.0,toyota,diesel,turbo,4,sedan,fwd,front,102.4,175.6,66.5,54.9,ohc,4,9.03,idi,3.27,3.35,22.5,73000.0,4500.0,30.0,33.0,-1,33.75,73.48,10698.0
