vendor,MYCT,MMIN,MMAX,CACH,CHMIN,CHMAX,ERP
honeywell,140.0,2000.0,4000.0,0.0,3.0,6.0,28.0
honeywell,140.0,2000.0,4000.0,0.0,4.0,8.0,29.0
honeywell,140.0,2000.0,4000.0,8.0,1.0,20.0,32.0
honeywell,140.0,2000.0,32000.0,32.0,1.0,20.0,175.0
honeywell,140.0,2000.0,8000.0,32.0,1.0,54.0,57.0
honeywell,140.0,2000.0,32000.0,32.0,1.0,54.0,181.0
honeywell,140.0,2000.0,32000.0,32.0,1.0,54.0,181.0
honeywell,140.0,2000.0,4000.0,8.0,1.0,20.0,32.0
ibm,57.0,4000.0,16000.0,1.0,6.0,12.0,82.0
ibm,57.0,4000.0,24000.0,64.0,12.0,16.0,171.0
ibm,26.0,16000.0,32000.0,64.0,16.0,24.0,361.0
ibm,26.0,16000.0,32000.0,64.0,8.0,24.0,350.0
ibm,26.0,8000.0,32000.0,0.0,8.0,24.0,220.0
ibm,26.0,8000.0,16000.0,0.0,8.0,16.0,113.0
ibm,480.0,96.0,512.0,0.0,1.0,1.0,15.0
ibm,203.0,1000.0,2000.0,0.0,1.0,5.0,21.0
ibm,115.0,512.0,6000.0,16.0,1.0,6.0,35.0
ibm,1100.0,512.0,1500.0,0.0,1.0,1.0,18.0
ibm,1100.0,768.0,2000.0,0.0,1.0,1.0,20.0
ibm,600.0,768.0,2000.0,0.0,1.0,1.0,20.0
ibm,400.0,2000.0,4000.0,0.0,1.0,1.0,28.0
ibm,400.0,4000.0,8000.0,0.0,1.0,1.0,45.0
ibm,900.0,1000.0,1000.0,0.0,1.0,2.0,18.0
ibm,900.0,512.0,1000.0,0.0,1.0,2.0,17.0
ibm,900.0,1000.0,4000.0,4.0,1.0,2.0,26.0
ibm,900.0,1000.0,4000.0,8.0,1.0,2.0,28.0
ibm,900.0,2000.0,4000.0,0.0,3.0,6.0,28.0
ibm,225.0,2000.0,4000.0,8.0,3.0,6.0,31.0
ibm,225.0,2000.0,4000.0,8.0,3.0,6.0,31.0
ibm,180.0,2000.0,8000.0,8.0,1.0,6.0,42.0
ibm,185.0,2000.0,16000.0,16.0,1.0,6.0,76.0
ibm,180.0,2000.0,16000.0,16.0,1.0,6.0,76.0
ibm,225.0,1000.0,4000.0,2.0,3.0,6.0,26.0
ibm,25.0,2000.0,12000.0,8.0,1.0,4.0,59.0
ibm,25.0,2000.0,12000.0,16.0,3.0,5.0,65.0
ibm,17.0,4000.0,16000.0,8.0,6.0,12.0,101.0
ibm,17.0,4000.0,16000.0,32.0,6.0,12.0,116.0
ibm,1500.0,768.0,1000.0,0.0,0.0,0.0,18.0
ibm,1500.0,768.0,2000.0,0.0,0.0,0.0,20.0
ibm,800.0,768.0,2000.0,0.0,0.0,0.0,20.0
ipl,50.0,2000.0,4000.0,0.0,3.0,6.0,30.0
ipl,50.0,2000.0,8000.0,8.0,3.0,6.0,44.0
ipl,50.0,2000.0,8000.0,8.0,1.0,6.0,44.0
ipl,50.0,2000.0,16000.0,24.0,1.0,6.0,82.0
ipl,50.0,2000.0,16000.0,24.0,1.0,6.0,82.0
ipl,50.0,8000.0,16000.0,48.0,1.0,10.0,128.0
magnuson,100.0,1000.0,8000.0,0.0,2.0,6.0,37.0
magnuson,100.0,1000.0,8000.0,24.0,2.0,6.0,46.0
magnuson,100.0,1000.0,8000.0,24.0,3.0,6.0,46.0
magnuson,50.0,2000.0,16000.0,12.0,3.0,16.0,80.0
magnuson,50.0,2000.0,16000.0,24.0,6.0,16.0,88.0
magnuson,50.0,2000.0,16000.0,24.0,6.0,16.0,88.0
microdata,150.0,512.0,4000.0,0.0,8.0,128.0,33.0
nas,115.0,2000.0,8000.0,16.0,1.0,3.0,46.0
nas,115.0,2000.0,4000.0,2.0,1.0,5.0,29.0
nas,92.0,2000.0,8000.0,32.0,1.0,6.0,53.0
nas,92.0,2000.0,8000.0,32.0,1.0,6.0,53.0
nas,92.0,2000.0,8000.0,4.0,1.0,6.0,41.0
nas,75.0,4000.0,16000.0,16.0,1.0,6.0,86.0
nas,60.0,4000.0,16000.0,32.0,1.0,6.0,95.0
nas,60.0,2000.0,16000.0,64.0,5.0,8.0,107.0
nas,60.0,4000.0,16000.0,64.0,5.0,8.0,117.0
nas,50.0,4000.0,16000.0,64.0,5.0,10.0,119.0
nas,72.0,4000.0,16000.0,64.0,8.0,16.0,120.0
nas,72.0,2000.0,8000.0,16.0,6.0,8.0,48.0
nas,40.0,8000.0,16000.0,32.0,8.0,16.0,126.0
nas,40.0,8000.0,32000.0,64.0,8.0,24.0,266.0
nas,35.0,8000.0,32000.0,64.0,8.0,24.0,270.0
nas,38.0,16000.0,32000.0,128.0,16.0,32.0,426.0
nas,48.0,4000.0,24000.0,32.0,8.0,24.0,151.0
nas,38.0,8000.0,32000.0,64.0,8.0,24.0,267.0
nas,30.0,16000.0,32000.0,256.0,16.0,24.0,603.0
ncr,112.0,1000.0,1000.0,0.0,1.0,4.0,19.0
ncr,84.0,1000.0,2000.0,0.0,1.0,6.0,21.0
ncr,56.0,1000.0,4000.0,0.0,1.0,6.0,26.0
ncr,56.0,2000.0,6000.0,0.0,1.0,8.0,35.0
ncr,56.0,2000.0,8000.0,0.0,1.0,8.0,41.0
ncr,56.0,4000.0,8000.0,0.0,1.0,8.0,47.0
ncr,56.0,4000.0,12000.0,0.0,1.0,8.0,62.0
ncr,56.0,4000.0,16000.0,0.0,1.0,8.0,78.0
ncr,38.0,4000.0,8000.0,32.0,16.0,32.0,80.0
ncr,38.0,4000.0,8000.0,32.0,16.0,32.0,80.0
ncr,38.0,8000.0,16000.0,64.0,4.0,8.0,142.0
ncr,38.0,8000.0,24000.0,160.0,4.0,8.0,281.0
ncr,38.0,4000.0,16000.0,128.0,16.0,32.0,190.0
nixdorf,200.0,1000.0,2000.0,0.0,1.0,2.0,21.0
nixdorf,200.0,1000.0,4000.0,0.0,1.0,4.0,25.0
nixdorf,200.0,2000.0,8000.0,64.0,1.0,5.0,67.0
perkin-elmer,250.0,512.0,4000.0,0.0,1.0,7.0,24.0
perkin-elmer,250.0,512.0,4000.0,0.0,4.0,7.0,24.0
perkin-elmer,250.0,1000.0,16000.0,1.0,1.0,8.0,64.0
prime,160.0,512.0,4000.0,2.0,1.0,5.0,25.0
prime,160.0,512.0,2000.0,2.0,3.0,8.0,20.0
prime,160.0,1000.0,4000.0,8.0,1.0,14.0,29.0
prime,160.0,1000.0,8000.0,16.0,1.0,14.0,43.0
prime,160.0,2000.0,8000.0,32.0,1.0,13.0,53.0
siemens,240.0,512.0,1000.0,8.0,1.0,3.0,19.0
siemens,240.0,512.0,2000.0,8.0,1.0,5.0,22.0
siemens,105.0,2000.0,4000.0,8.0,3.0,8.0,31.0
siemens,105.0,2000.0,6000.0,16.0,6.0,16.0,41.0
siemens,105.0,2000.0,8000.0,16.0,4.0,14.0,47.0
siemens,52.0,4000.0,16000.0,32.0,4.0,12.0,99.0
siemens,70.0,4000.0,12000.0,8.0,6.0,8.0,67.0
siemens,59.0,4000.0,12000.0,32.0,6.0,12.0,81.0
siemens,59.0,8000.0,16000.0,64.0,12.0,24.0,149.0
siemens,26.0,8000.0,24000.0,32.0,8.0,16.0,183.0
siemens,26.0,8000.0,32000.0,64.0,12.0,16.0,275.0
siemens,26.0,8000.0,32000.0,128.0,24.0,32.0,382.0
sperry,116.0,2000.0,8000.0,32.0,5.0,28.0,56.0
sperry,50.0,2000.0,32000.0,24.0,6.0,26.0,182.0
sperry,50.0,2000.0,32000.0,48.0,26.0,52.0,227.0
sperry,50.0,2000.0,32000.0,112.0,52.0,104.0,341.0
sperry,50.0,4000.0,32000.0,112.0,52.0,104.0,360.0
sperry,30.0,8000.0,64000.0,96.0,12.0,176.0,919.0
sperry,30.0,8000.0,64000.0,128.0,12.0,176.0,978.0
sperry,180.0,262.0,4000.0,0.0,1.0,3.0,24.0
sperry,180.0,512.0,4000.0,0.0,1.0,3.0,24.0
sperry,180.0,262.0,4000.0,0.0,1.0,3.0,24.0
sperry,180.0,512.0,4000.0,0.0,1.0,3.0,24.0
sperry,124.0,1000.0,8000.0,0.0,1.0,8.0,37.0
sperry,98.0,1000.0,8000.0,32.0,2.0,8.0,50.0
sratus,125.0,2000.0,8000.0,0.0,2.0,14.0,41.0
wang,480.0,512.0,8000.0,32.0,0.0,0.0,47.0
wang,480.0,1000.0,4000.0,0.0,0.0,0.0,25.0
